,Bedrooms,Bathrooms,Status,Size,Location,Price,Facing,Type
684,0,0,0,174,13,32.19,0,3
685,0,0,0,1467,13,30.15,0,3
686,0,0,0,1800,13,36.0,8,3
687,0,0,0,293,13,52.74,2,3
688,0,0,0,2142,13,44.03,0,3
689,0,0,0,1908,13,38.88,2,3
690,0,0,0,1548,13,31.82,0,3
691,0,0,0,1494,13,30.71,0,3
692,0,0,0,1863,13,37.26,2,3
693,0,0,0,1746,13,35.89,1,3
694,0,0,0,1809,13,37.18,0,3
695,0,0,0,3942,13,87.6,0,3
696,0,0,0,1773,13,23.64,0,3
697,0,0,0,3213,13,71.4,0,3
698,0,0,0,1647,13,33.85,0,3
699,0,0,0,1467,13,30.15,0,3
700,0,0,0,1647,13,32.94,8,3
701,0,0,0,1746,13,35.89,0,3
702,0,0,0,1746,13,35.89,0,3
703,0,0,0,1908,13,42.4,7,3
704,0,0,0,1818,13,37.37,8,3
705,0,0,0,174,13,34.8,0,3
706,0,0,0,1746,13,35.89,0,3
707,0,0,0,2088,13,42.92,1,3
708,0,0,0,1818,13,36.36,8,3
709,0,0,0,1746,13,35.89,0,3
710,0,0,0,1647,13,33.85,0,3
711,0,0,0,2187,7,44.95,1,3
712,0,0,0,2187,7,44.95,1,3
713,0,0,0,1863,7,38.29,1,3
714,0,0,0,1746,7,34.92,1,3
715,0,0,0,1818,13,37.37,1,3
716,0,0,0,1647,7,33.85,1,3
717,0,0,0,1674,13,33.48,8,3
718,0,0,0,1944,7,38.88,1,3
719,0,0,0,2502,7,51.43,1,3
720,0,0,0,1899,13,37.98,1,3
721,0,0,0,1719,22,31.51,1,3
722,0,0,0,1908,13,39.22,0,3
723,0,0,0,1647,13,32.94,8,3
724,0,0,0,2745,7,56.42,0,3
725,0,0,0,1809,13,37.18,1,3
726,0,0,0,162,22,25.75,1,3
727,0,0,0,1647,22,30.19,0,3
728,0,0,0,2745,13,61.0,8,3
729,0,0,0,1278,20,16.33,4,3
730,0,0,0,279,20,20.47,4,3
731,0,0,0,1602,20,21.36,0,3
732,0,0,0,1278,20,16.33,4,3
733,0,0,0,1602,20,21.36,1,3
734,0,0,0,1278,20,16.33,1,3
735,0,0,0,1278,20,16.33,1,3
736,0,0,0,1269,20,16.21,1,3
737,0,0,0,1206,20,16.08,0,3
738,0,0,0,183,22,29.28,0,3
739,0,0,0,2385,13,49.02,0,3
740,0,0,0,174,13,32.19,0,3
741,0,0,0,183,13,33.85,0,3
742,0,0,0,200,13,37.0,0,3
743,0,0,0,196,13,36.26,0,3
744,0,0,0,250,13,45.0,8,3
745,0,0,0,1746,13,32.0,1,3
746,0,0,0,900,54,25.0,1,3
747,0,0,0,1350,50,9.75,0,3
748,0,0,0,1566,31,27.49,8,3
749,0,0,0,1350,56,17.25,8,3
750,0,0,0,900,56,11.5,2,3
751,0,0,0,900,56,11.5,2,3
752,0,0,0,900,56,11.5,8,3
753,0,0,0,3150,56,40.25,0,3
754,0,0,0,3150,56,40.25,8,3
755,0,0,0,3150,56,40.25,5,3
756,0,0,0,3150,56,40.25,2,3
757,0,0,0,2700,56,34.5,8,3
758,0,0,0,2700,56,34.5,5,3
759,0,0,0,2250,56,28.75,0,3
760,0,0,0,2250,56,28.75,8,3
761,0,0,0,2250,56,28.75,5,3
762,0,0,0,2250,56,28.75,2,3
763,0,0,0,1800,56,23.0,0,3
764,0,0,0,1800,56,23.0,8,3
765,0,0,0,1800,56,23.0,5,3
766,0,0,0,1647,56,21.04,0,3
767,0,0,0,1800,56,23.0,2,3
768,0,0,0,1647,56,21.04,8,3
769,0,0,0,1647,56,21.04,5,3
770,0,0,0,1647,56,21.04,2,3
771,0,0,0,1350,56,17.25,0,3
772,0,0,0,1350,56,17.25,8,3
773,0,0,0,1350,56,17.25,5,3
774,0,0,0,1350,56,17.25,2,3
775,0,0,0,900,56,11.5,0,3
776,0,0,0,900,56,11.5,8,3
777,0,0,0,900,56,11.5,5,3
778,0,0,0,900,56,11.5,2,3
779,0,0,0,1800,56,23.0,2,3
780,0,0,0,1647,56,21.04,2,3
781,0,0,0,1350,56,17.25,2,3
782,0,0,0,900,56,11.5,2,3
783,0,0,0,1800,56,23.0,8,3
784,0,0,0,1647,56,21.04,2,3
785,0,0,0,1350,56,17.25,2,3
786,0,0,0,900,56,11.5,2,3
